Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",132.000000,-57.425000,90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",153.550000,-58.225000,90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",157.025000,-104.287500,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.800000,-95.800000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",134.850000,-86.612500,90.000000,top
"D1","LED","LED_D5.0mm",168.160000,-66.150000,0.000000,top
"D2","LED","LED_D5.0mm",175.975000,-66.000000,0.000000,top
"D3","LED","LED_D5.0mm",183.225000,-66.000000,0.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",137.600000,-52.650000,0.000000,top
"D5","LED","LED_D5.0mm",190.725000,-66.000000,0.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",124.542500,-72.200000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",153.250000,-66.475000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",169.025000,-60.855000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",176.325000,-60.980000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",183.150000,-60.980000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",190.900000,-60.630000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.375000,-85.095000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.275000,-89.450000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.250000,-103.975000,-90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.375000,-92.995000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",172.450000,-103.850000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.300000,-103.850000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.225000,-103.800000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",187.200000,-103.950000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.375000,-104.125000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.375000,-96.245000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.125000,-71.125000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.275000,-81.520000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",198.025000,-74.150000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",197.775000,-77.400000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",119.175000,-91.550000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",119.175000,-84.600000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",163.125000,-111.175000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",140.850000,-77.325000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",146.325000,-65.775000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",153.915000,-74.010000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",167.830000,-73.895000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",184.190000,-74.135000,0.000000,top
"U5","FYS-3911BUHR-21","HDSP-7401",204.682500,-74.632500,0.000000,top
"U6","74LVC1G11","SOT-23-6",148.050000,-79.875000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",124.295000,-84.215000,0.000000,top
